id,nummi,agerevq,couple,iris,sexe,tact
4032374,1,020,2,765400405,2,11
4032375,2,020,2,765400402,2,22
4032376,3,070,2,765400104,2,21
4032377,4,035,2,765400304,1,11
4032378,5,025,1,765400303,2,11
4032379,5,025,1,765400303,1,11
4032380,6,035,1,765400304,2,11
4032381,7,030,1,765401002,1,11
4032382,7,000,2,765401002,2,23
4032383,7,030,1,765401002,2,11
4032384,7,000,2,765401002,1,23
4032385,8,055,2,765400404,2,21
4032386,9,030,2,765400305,2,11
4032387,10,050,2,765400306,2,21
4032388,11,025,1,765401004,2,11
4032389,11,025,1,765401004,1,12
4032390,12,015,2,765400102,1,22
4032391,13,020,2,765400405,1,11
4032392,14,050,1,765400901,2,25
4032393,14,050,1,765400901,1,25
4032394,15,020,2,765400303,1,11
4032395,15,015,2,765400303,2,22
4032396,15,055,2,765400303,2,11
4032397,16,025,2,765401004,2,11
4032398,17,035,1,765401001,1,12
4032399,17,035,1,765401001,2,12
4032400,17,000,2,765401001,1,23
4032401,18,040,2,765400402,1,25
4032402,19,000,2,765401001,2,23
4032403,19,000,2,765401001,1,23
4032404,19,030,1,765401001,1,11
4032405,19,030,1,765401001,2,11
4032406,20,080,2,765400305,2,21
4032407,21,060,1,765400105,1,21
4032408,21,055,1,765400105,1,11
4032409,22,020,1,765401004,1,11
4032410,22,015,1,765401004,2,22
4032411,23,030,2,765400502,1,11
4032412,24,045,1,765401003,2,11
4032413,24,045,1,765401003,1,11
4032414,24,015,2,765401003,1,12
4032415,25,005,2,765400901,1,23
4032416,25,040,2,765400901,2,24
4032417,25,005,2,765400901,1,23
4032418,26,025,2,765400404,2,11
4032419,27,020,2,765400201,2,22
4032420,28,025,1,765400102,1,11
4032421,28,025,1,765400102,2,11
4032422,29,085,2,765400601,2,21
4032423,30,055,2,765400306,2,11
4032424,31,080,2,765400504,2,21
4032425,32,020,2,765400404,1,22
4032426,33,020,2,765400103,2,22
4032427,34,075,2,765400202,2,21
4032428,34,035,2,765400202,2,11
4032429,35,025,2,765400504,2,11
4032430,36,055,2,765400801,1,11
4032431,37,070,2,765401001,2,21
4032432,38,015,2,765400102,2,22
4032433,39,020,2,765400106,2,11
4032434,40,020,2,765400404,1,11
4032435,41,020,2,765400404,1,22
4032436,42,020,2,765400106,1,22
4032437,43,045,2,765400502,2,11
4032438,43,020,2,765400502,2,22
4032439,43,015,2,765400502,2,22
4032440,44,015,2,765400502,1,22
4032441,45,005,2,765401003,1,23
4032442,45,025,2,765401003,2,12
4032443,46,020,2,765400404,1,22
4032444,47,005,2,765401004,2,23
4032445,47,025,2,765401004,2,11
4032446,48,030,2,765400403,1,12
4032447,49,065,1,765400404,1,21
4032448,49,055,1,765400404,2,11
4032449,50,060,2,765400404,2,21
4032450,51,020,2,765400405,1,11
4032451,52,030,2,765400601,2,11
4032452,53,055,2,765400303,2,11
4032453,54,025,2,765400101,2,22
4032454,55,065,1,765401003,1,21
4032455,55,060,1,765401003,2,21
4032456,56,055,1,765400202,2,21
4032457,56,060,1,765400202,1,21
4032458,57,085,2,765400901,2,21
4032459,57,060,2,765400901,2,21
4032460,58,025,2,765401003,2,11
4032461,59,060,2,765400702,1,21
4032462,60,075,1,765400104,1,21
4032463,60,070,1,765400104,2,21
4032464,61,060,2,765400105,2,21
4032465,62,015,2,765400202,2,22
